country,Country Code,Continent,HDI,le,eys,mys,gnicp,ptr_p,ut,se_p,fr,che,pun,ppod,gee
Cambodia,KHM,Asia,0.586,70.5153,11.33676945,4.844,3684.459668,41.66267,0.14,90.54321,2.473,5.72271872,7.7,28.41424796,2.096460581
Cameroon,CMR,Africa,0.571,60.8103,12.43018527,6.039564753,3597.973425,44.61321,3.598,92.87395,4.774,3.39752436,6.6,5.092027051,3.059629917
Canada,CAN,North America,0.931,82.0192,16.15789032,13.76600456,47702.63749,17.6,6.34,99.8825,1.55,10.86184978,2.5,0,4.959969997
Chile,CHL,South America,0.853,80.3501,16.44754982,10.59051991,23458.6445,17.79358,6.95,94.74067,1.598,9.06854153,2.9,0,5.432789803
Colombia,COL,South America,0.761,76.6456,14.40923977,8.362985134,13912.22581,23.60132,8.87,93.13491,1.818,7.67864323,5.9,3.50350614,4.535510063
Costa Rica,CRI,North America,0.807,79.3769,15.66736984,8.643780231,19283.51036,11.62825,7.73,96.34224,1.74,7.04522991,3.2,0.23198124,7.069809914
Cuba,CUB,North America,0.779,77.5286,14.09766006,12.20397456,8388.369,8.82731,1.7,95.57823,1.593,11.47197342,2.5,0.452528536,9.033133049
Cyprus,CYP,Asia,0.887,81.328,15.16886997,12.18473005,37163.37655,12.03922,11.05,97.49342,1.322,6.64387274,2.5,0,5.69961977
Czechia,CZE,Europe,0.897,78.9557,16.78511047,12.78682041,36626.68558,12.8,2.89,89.3503,1.69,7.38071537,2.5,0,3.806159973
Djibouti,DJI,Africa,0.499,62.7966,6.83112,4.07,4660.30902,30.42105,26.06,59.96016,2.972,2.46476936,13.5,16.7227543,3.733449936
Dominican Republic,DOM, North America,0.757,73.0629,14.22251987,8.936204255,15941.67145,18.91694,5.83,92.87434,2.39,4.49336958,6.2,2.412251476,3.920267582
Ecuador,ECU,South America,0.762,76.9725,14.95492999,8.765919685,11346.37257,24.48003,3.84,91.64154,2.174,7.42857933,10.7,2.830029956,4.614257813
"Egypt, Arab Rep.",EGY,Africa,0.721,71.3019,13.32623959,9.04570961,10801.02662,23.77693,11.767,97.02531,3.151,5.63305616,4.9,0.080912886,4.122526169
El Salvador,SLV,North America,0.674,72.3108,12.53785778,6.825099945,7984.420771,28.27102,4.39,80.23355,1.896,8.42286873,9.2,1.549508123,3.725229979
Estonia,EST,Europe,0.887,77.976,15.9211998,13.55548,33040.70655,11.31153,5.81,93.68129,1.59,6.59727049,2.5,0,4.961319923
Eswatini,SWZ,Africa,0.596,57.8951,13.41933922,5.328,7844.499338,26.59621,22.731,82.52357,3.015,6.98103714,12.4,4.058810812,6.177914143
Europe & Central Asia,ECS,Europe,0.794,74.3430047,15.2158466,10.38367958,17400.71295,14.85681,7.453437542,94.97764,1.734766114,9.229822399,2.588158624,0.02811047,4.632345412
